movieId,tagId,relevance
2818,375,0.0564999999999999
108797,531,0.0574999999999999
7315,1122,0.0235
1676,412,0.1292499999999999
4219,990,0.0705
32162,618,0.515
86410,796,0.0989999999999999
6091,757,0.0135
95311,332,0.0195
62803,33,0.0757499999999999
4356,448,0.1059999999999999
100440,250,0.069
8985,925,0.0165
96911,750,0.561
7941,430,0.0334999999999999
60338,288,0.14925
27362,1053,0.0544999999999999
4764,252,0.03275
27402,89,0.1014999999999999
32058,52,0.20825
61937,22,0.145
5733,674,0.0237499999999999
7385,674,0.0519999999999999
516,712,0.0175
464,326,0.088
136018,664,0.03375
2295,687,0.0255
1972,362,0.18
55250,319,0.0225
58162,162,0.075
42015,862,0.0087499999999999
82463,115,0.0319999999999999
8361,755,0.0222499999999999
4728,747,0.079
6611,975,0.004
183155,241,0.09525
48326,177,0.0334999999999999
531,466,0.155
97470,80,0.1064999999999999
59547,1024,0.32575
2770,1078,0.016
2268,817,0.0697499999999999
113573,1031,0.0247499999999999
6367,1019,0.071
6725,186,0.0775
152017,393,0.0805
8130,218,0.1805
6155,519,0.145
5382,559,0.011
2726,1046,0.1064999999999999
55577,47,0.006
157326,985,0.04675
1102,433,0.0364999999999999
48575,339,0.0999999999999999
55052,551,0.2875
2431,93,0.0935
32770,685,0.0115
45440,178,0.0247499999999999
1012,618,0.0207499999999999
197175,312,0.0857499999999999
172637,1007,0.4235
49957,465,0.2115
4465,216,0.235
7334,559,0.1405
37785,140,0.09275
5980,322,0.0434999999999999
73344,1058,0.0097499999999999
1191,444,0.014
36,968,0.1375
103249,317,0.0192499999999999
4960,470,0.0227499999999999
173939,437,0.031
52784,498,0.028
86880,542,0.1355
6935,387,0.17225
122890,488,0.0212499999999999
5484,877,0.025
5946,791,0.26525
69498,629,0.5425
5302,164,0.0905
7669,351,0.3512499999999999
3917,482,0.0267499999999999
1069,148,0.071
5951,758,0.03125
1760,193,0.0207499999999999
5080,1115,0.03175
102666,288,0.10975
7723,82,0.3077499999999999
48673,366,0.2957499999999999
2240,233,0.03725
33592,3,0.0379999999999999
7984,945,0.0469999999999999
126,816,0.0305
778,310,0.0102499999999999
151645,642,0.15425
2717,624,0.0544999999999999
66783,320,0.0075
56700,72,0.0534999999999999
1896,397,0.014
6478,691,0.401
51077,275,0.132
2339,424,0.1725
4235,810,0.0052499999999999
106983,555,0.31775
492,111,0.0147499999999999
26696,409,0.0374999999999999
169760,550,0.1307499999999999
130044,647,0.0197499999999999
5842,620,0.0605
2363,3,0.0757499999999999
6333,693,0.0107499999999999
839,497,0.03
146196,571,0.0132499999999999
90439,371,0.0197499999999999
177,390,0.0747499999999999
870,671,0.03425
3636,775,0.0015
2233,859,0.0035
2949,762,0.0757499999999999
7084,47,0.025
2842,132,0.1185
116191,228,0.012
40574,486,0.0077499999999999
4894,1071,0.23325
112070,1060,0.0045
4400,64,0.0389999999999999
506,585,0.15875
7134,1065,0.0474999999999999
8404,586,0.0627499999999999
2147,308,0.1317499999999999
1822,416,0.05175
1460,39,0.01
5862,284,0.05025
176523,614,0.156
2873,642,0.21375
63808,791,0.202
1586,972,0.2867499999999999
135887,680,0.018
7396,466,0.24575
3590,721,0.0807499999999999
2728,277,0.62075
2647,313,0.0359999999999999
2029,504,0.1892499999999999
185109,270,0.72825
3645,294,0.0682499999999999
5613,530,0.04425
6220,167,0.0782499999999999
4426,1044,0.04175
94,1094,0.0379999999999999
3013,711,0.0732499999999999
4613,582,0.02975
86642,297,0.40175
121235,716,0.0055
5051,80,0.1265
726,579,0.023
5929,598,0.0235
6296,220,0.6445
25901,415,0.11925
6996,1101,0.4105
6993,525,0.0275
127298,710,0.2334999999999999
61255,88,0.0132499999999999
72159,123,0.025
48045,1066,0.04175
6318,386,0.11925
923,28,0.294
3821,901,0.973
4212,544,0.0454999999999999
168554,869,0.2289999999999999
51418,766,0.1997499999999999
109425,300,0.0082499999999999
142507,1117,0.0287499999999999
52495,504,0.3605
5620,250,0.0117499999999999
2121,955,0.04975
1914,404,0.0212499999999999
2731,693,0.0095
1412,654,0.0162499999999999
438,647,0.0245
3885,630,0.0344999999999999
3250,630,0.0369999999999999
72378,63,0.0057499999999999
113348,588,0.26875
7458,1066,0.0449999999999999
1029,665,0.0137499999999999
151645,22,0.2734999999999999
116529,857,0.10225
7943,472,0.906
88272,87,0.183
4263,630,0.0215
3931,325,0.348
595,1023,0.0579999999999999
108318,559,0.0115
6795,570,0.0205
1361,900,0.0745
7123,30,0.1639999999999999
80588,846,0.12275
5357,128,0.2185
8425,725,0.0529999999999999
6308,509,0.0185
101076,737,0.14225
9004,1102,0.0185
3214,149,0.03625
3419,252,0.0544999999999999
2458,904,0.093
5111,443,0.0807499999999999
5726,1045,0.0697499999999999
908,904,0.2955
80572,88,0.0112499999999999
638,1033,0.04725
6557,471,0.0359999999999999
315,350,0.0329999999999999
1476,848,0.0155
184471,522,0.05175
122900,994,0.03925
4838,398,0.0275
128679,478,0.217
118888,208,0.029
197875,1120,0.019
3043,749,0.0374999999999999
114182,693,0.0095
2812,1022,0.0215
316,621,0.194
127178,246,0.0185
5044,74,0.0062499999999999
95135,1066,0.065
831,457,0.1694999999999999
5268,65,0.0175
3004,873,0.0177499999999999
4381,232,0.0344999999999999
2146,235,0.571
3991,470,0.0359999999999999
2925,614,0.0627499999999999
3553,478,0.1982499999999999
1138,623,0.0047499999999999
201200,696,0.0212499999999999
6019,1083,0.251
4249,654,0.03725
91976,111,0.0145
2999,964,0.0072499999999999
325,400,0.0067499999999999
380,1058,0.0685
436,823,0.7315
476,586,0.0692499999999999
46578,141,0.58275
2208,876,0.1925
181751,1054,0.04425
4158,1119,0.0615
6625,390,0.04525
2271,538,0.0632499999999999
198,1021,0.0192499999999999
948,759,0.8005
103339,545,0.0539999999999999
74510,973,0.0285
26322,197,0.0434999999999999
65682,282,0.03075
