userId,movieId,rating,timestamp
118158,1214,5.0,883722661
20959,348,3.5,1170626394
47092,8949,4.5,1521332971
86563,90866,4.5,1468357152
52461,5528,4.5,1573024619
91597,1259,5.0,939677768
161102,408,4.5,1337222051
34329,1573,2.5,1142040309
49772,4973,4.5,1118186689
132535,253,3.0,831551472
123329,1016,3.0,859326783
152325,3624,4.0,1037338860
17932,4876,1.0,1024282842
65555,3285,2.0,1073143336
65427,4735,3.0,1028310732
41666,592,4.0,962157262
156113,162364,5.0,1470847954
32374,480,3.0,1335947928
157475,1275,2.5,1335713188
19825,1256,5.0,977800906
21025,1211,2.5,1105362678
30103,2959,5.0,1459096847
146281,3000,5.0,1468692031
41577,52328,0.5,1200142556
124568,1732,2.5,1479059608
147185,2167,5.0,1304409150
78849,4516,2.0,1541120474
102307,112,3.0,843207533
154032,316,4.0,1324700854
104469,1265,3.0,1461800288
20873,5095,5.0,1018931699
26531,97913,3.5,1464243198
136737,50,4.0,1197920853
157547,4190,5.0,989264875
94924,17,4.5,1259146669
74256,165413,3.0,1492283294
44026,1233,0.5,1082048858
126213,1200,4.5,1212029915
60084,3408,4.0,1178825695
36811,3362,3.5,1219264168
69529,2040,3.0,962601895
82644,2003,4.0,1013459399
23737,1387,4.0,1545178649
161927,2710,4.0,1028698372
114129,56174,4.0,1503765889
138071,541,5.0,1473792893
110404,364,4.5,1136475680
142214,67923,3.5,1426004972
90247,152081,4.0,1473756864
58514,2881,4.0,943517360
148990,71205,4.0,1560250012
72045,4584,2.5,1058126435
15066,115713,3.5,1452402239
142414,114329,5.0,1471667849
6796,1288,4.0,945797253
14573,3409,2.0,1483169621
123697,708,2.0,942060918
85326,500,4.0,921683866
96606,104339,2.5,1447220982
154394,1136,4.0,1330135595
119443,6220,3.5,1117928318
99836,46578,5.0,1250933008
76176,1380,5.0,974344302
135220,107406,3.5,1449715885
70048,89039,4.0,1458253765
75477,81562,4.0,1507572173
60057,1285,2.0,992278888
158191,1639,4.0,1197203051
135497,5816,4.0,1217946159
93068,594,4.0,835432776
59272,2194,4.5,1107750468
97339,4226,5.0,1385223662
53162,64620,4.0,1416690602
149873,6615,3.0,1564265660
74316,1035,5.0,1483226879
83116,2804,5.0,1128834951
69048,1225,3.0,874947033
38329,866,2.0,940817768
126790,141,1.0,835813981
59520,5992,3.5,1074737784
69153,2631,2.0,982261475
37237,541,5.0,1293453825
41940,7925,3.5,1486710105
8367,2182,4.0,979103063
71723,6377,3.5,1472920192
98013,4890,2.5,1109494744
112062,1721,3.5,1251059157
5229,356,4.0,835443200
50487,111659,4.0,1512466494
122025,165,3.0,965064701
133517,1997,2.5,1503254937
29799,33679,2.5,1328742227
43883,3000,5.0,1534764341
19301,4370,4.0,1197536157
44833,1356,4.0,945213702
37850,5247,3.0,1074609857
94375,112852,4.5,1518921111
119739,135887,3.0,1560361144
97452,152081,4.0,1462313094
12950,2915,5.0,944966431
134091,780,1.0,845133560
5201,5665,3.5,1085727378
27621,3445,3.0,1134050033
128255,2395,4.0,1364498044
71886,100383,2.0,1445735722
123184,4701,3.0,1149408987
72192,2567,2.0,945114768
117262,364,4.0,1476734839
79201,1689,2.0,1140974553
56297,3451,3.0,992453464
21337,1197,5.0,988558864
129886,2050,1.5,1116553310
10077,8042,4.0,1137628447
155676,91500,3.5,1490215238
91911,59784,3.5,1439845347
137293,4722,3.5,1242352366
79388,464,4.0,839944383
145436,2804,4.0,948269332
19462,1136,5.0,1430075352
72315,5641,3.0,1482568528
156325,32587,4.5,1453537874
61046,4489,3.5,1132666433
154890,3108,4.0,949069017
63711,3705,2.5,1420585694
58904,177765,4.5,1533665648
119364,318,3.0,845204581
142754,32029,3.5,1462059167
39218,63033,5.0,1401073500
89032,990,3.0,963632905
1417,48780,5.0,1529271948
86308,5502,2.5,1191458278
57144,2338,3.0,974710002
132035,784,4.0,1211395715
55661,5225,5.0,1111480091
112347,132,2.0,848517648
126013,62437,3.0,1293277752
81443,53322,4.0,1545603353
116060,527,5.0,842870649
124013,2959,4.0,942094041
99142,2232,3.0,959621907
136355,1625,4.5,1440151348
17670,2985,1.0,1111476687
90555,110,4.0,940209803
144297,4878,5.0,1460069990
60634,274,2.0,1049827563
17696,71535,4.5,1532630829
52011,74450,5.0,1399902488
30563,2502,5.0,947300111
91396,490,4.0,845570460
143000,1291,3.0,1471466703
37254,3134,5.0,953600142
28660,2791,4.0,974242983
23784,588,4.0,857587039
3846,356,3.5,1072986168
36323,81834,3.0,1473719651
83754,1357,1.0,863349983
151072,3489,2.5,1107872643
146437,71264,3.0,1463850127
60024,30793,2.0,1523678224
122337,2162,3.0,949177195
69305,3864,4.0,1317831643
86953,139642,5.0,1452195415
160272,4973,4.0,1417140358
126209,87483,2.5,1343594790
106226,4326,3.5,1112671166
156594,953,3.0,885138780
99435,1732,5.0,1062490304
24778,2391,1.0,1313808787
68093,1441,3.0,979596392
123477,1461,2.0,1112588419
59455,1261,4.5,1298566270
51542,3704,3.0,1234828446
123747,7323,3.0,1226976052
82325,1732,3.5,1397809654
2036,2329,4.0,1567717719
67865,176371,3.0,1564080564
138734,356,4.0,984368625
141549,38038,3.5,1299166145
50657,39183,5.0,1494271899
3150,81512,3.0,1298870758
129880,1271,4.0,943718460
158904,164909,0.5,1535856114
28092,5171,3.0,1094065761
102073,318,3.5,1470695005
138566,1950,4.0,945487687
139861,2890,4.0,1012114530
131314,34405,4.0,1150159704
114020,62,4.0,939970382
122968,102880,3.0,1373655519
93440,3863,2.0,1257031885
54233,57,5.0,842621456
97843,112,3.5,1154859339
121845,367,5.0,942701150
121534,59369,3.5,1472060562
45700,1295,5.0,853765247
122519,7360,4.0,1117403733
67520,63992,4.0,1291611393
115410,102753,4.0,1453051240
117090,106782,3.5,1473193593
60881,54001,2.5,1216051008
161165,58559,5.0,1273336567
162541,4464,4.0,1240949520
1286,435,5.0,847604993
36375,7541,4.0,1232513996
161361,650,5.0,850688776
65907,1371,3.0,1438516130
71928,55768,3.5,1454746100
113962,56367,5.0,1207104528
59437,6,4.0,853431539
103153,88744,3.0,1324269260
128290,29,3.0,1054281545
43484,2502,5.0,1157346139
160747,6662,3.0,1476826243
8766,1196,4.5,1325275226
97644,1663,4.0,1432186068
65939,68954,4.0,1335576104
27224,4226,4.0,1558632442
61935,5282,3.5,1060395975
98551,77561,4.5,1555172003
35740,599,2.5,1108365576
27987,664,4.0,845833116
86179,296,3.0,947968488
129414,33564,4.0,1238256176
86260,2371,3.5,1086725925
39669,478,1.5,1224608170
4078,342,3.0,837360774
18306,27878,4.5,1129301634
103412,68157,3.5,1308667301
77623,4306,4.0,1050907751
39125,2826,3.0,967598592
161384,493,3.0,956690308
158733,112552,2.5,1487006992
137649,122882,4.0,1449221759
127066,135,3.0,965714003
104927,2683,4.0,1111570321
126360,73017,3.5,1470851240
88088,1882,2.0,1269898516
28781,1994,4.0,1393742175
78880,2791,4.0,945054382
12417,79702,5.0,1462926367
90146,593,5.0,956618700
142700,2571,5.0,983510957
111695,102716,4.0,1485971621
151937,42004,4.5,1140058880
136782,3984,5.0,1510942663
32067,161131,4.0,1484607888
90203,54997,4.0,1286089946
13838,93988,0.5,1448156306
88645,164179,5.0,1486670605
82479,5902,3.0,1183509729
5872,67788,4.0,1435964849
26846,2115,1.5,1212342437
71283,86320,4.0,1546383064
68376,1080,3.5,1504157805
150930,4671,4.0,995230923
99774,165179,4.0,1517696168
121987,5673,4.0,1402790021
99684,5660,5.0,1035143436
128602,1997,5.0,1216587127
121579,86290,4.5,1337671645
108433,134130,4.0,1538233345
47244,1801,3.5,1439409676
29382,79,3.0,853534352
30736,4993,2.5,1572227220
23993,5400,3.5,1055645460
112809,196,4.0,835587387
111661,4447,3.0,1485901103
106857,1320,0.5,1551817242
32639,91690,3.5,1478475256
8069,45028,3.0,1203735108
53349,608,5.0,938941706
121182,1278,3.0,953509553
144484,7154,4.0,1108219685
37755,405,3.0,834482897
29851,2427,2.0,954170143
85757,58520,3.5,1482247136
73982,1704,5.0,990496207
82753,1479,2.0,940215388
63203,2268,4.0,1134866480
126384,593,4.0,1495232205
34620,150,3.5,1076925241
16774,471,3.5,1419296087
94448,3897,4.0,1001967146
87790,7121,4.5,1158288806
127033,81562,2.5,1474027727
106902,55329,0.5,1363426287
133720,849,2.0,879622812
86765,2160,3.0,1291091011
8379,1198,3.5,1071501160
83581,56169,3.0,1447626978
25933,951,4.0,1560571430
53947,694,4.0,835180223
133357,2302,4.0,1059093493
69894,170705,5.0,1512823521
111710,356,2.0,1340844700
129745,356,4.0,1062865407
63875,2423,2.0,989207881
153422,1748,3.5,1206307729
138129,3448,4.5,1122793643
75528,543,4.0,836235881
53301,29,5.0,1406679865
145640,720,2.5,1162074020
131587,26479,5.0,1173002350
112101,3683,3.0,958938279
51816,2394,3.0,970536873
38528,40278,2.0,1137987208
24843,95,4.0,867447972
86308,1304,4.0,1190263120
69529,46948,2.0,1201995114
43224,1036,4.0,1204762933
149340,3157,4.0,1000502027
37018,648,4.0,839405856
36072,3994,3.0,1061924516
81216,2006,2.5,1551962244
43107,4270,2.5,1503524159
70040,7153,5.0,1081011143
112139,60069,4.0,1566737641
115805,62,3.0,944967439
61743,1127,5.0,1028485704
40636,56145,3.5,1553878422
90622,8784,3.5,1236554658
156134,3698,4.0,1490588046
40741,111,4.0,1500287703
695,1586,3.0,941568466
56641,1214,3.5,1155001033
111230,1721,2.0,962850004
45072,142222,3.0,1551026802
132647,1029,5.0,893452209
152923,5690,4.0,1551509723
134518,1073,3.5,1088273588
108045,5952,4.0,1195515405
35694,3519,2.5,1219098721
103232,188383,4.0,1570120448
4771,2302,3.0,1053660856
113495,54286,5.0,1234033806
44112,6934,3.0,1118956587
72445,73321,4.0,1435966741
161224,1296,3.0,941821351
9744,953,3.5,1210533457
31187,134853,3.5,1453429288
128110,1198,4.0,1107346426
22695,167640,4.0,1497987305
105205,42738,2.0,1140429653
39132,96281,4.0,1373221087
142715,30810,2.5,1544636408
157719,1027,4.0,1420912386
123583,223,3.5,1225706869
143337,95543,3.0,1564402239
64539,7153,4.5,1339125823
99532,59315,4.5,1315105772
144938,5040,2.0,1047410271
118643,2712,4.0,938980897
157964,372,4.0,1182951161
18583,4979,4.5,1212102361
23026,1327,0.5,1236266957
127490,184257,4.0,1520798780
42029,1587,3.5,1184214880
126725,10,3.0,832023728
156779,2212,4.0,1048193663
77021,5820,3.5,1130041822
129450,2124,2.0,970169523
105095,788,2.0,1239583453
74325,480,5.0,835625215
115218,1953,5.0,968099375
140070,1240,3.0,1306279077
4365,671,5.0,1019523964
104986,1225,4.0,1546950365
32762,485,3.0,1434987694
127320,3785,5.0,990135572
140463,2551,4.0,1333223909
129199,158597,3.5,1501835239
23453,58554,3.0,1499888921
1973,26606,3.5,1473464291
