movieId,imdbId,tmdbId
173479,4040042,330333.0
199508,3210320,563502.0
155176,67058,355297.0
33051,67763,20628.0
124939,52059,225943.0
166490,1598782,52254.0
162876,108027,74199.0
6824,105291,70709.0
201733,7946216,501977.0
31921,75194,29578.0
121819,45986,113225.0
200010,1813534,353368.0
89506,836683,16092.0
165767,58259,173873.0
136857,2577172,312791.0
111899,61927,163376.0
202051,6747818,600751.0
5245,81518,55792.0
205102,4061944,403586.0
158946,1849868,85887.0
167866,356696,195763.0
205080,6213294,437023.0
153917,1191121,73578.0
166030,4660248,365323.0
144386,1087906,33338.0
167684,3564574,382501.0
124621,78360,59402.0
79899,1519656,104831.0
141369,1468324,76940.0
171739,854667,25977.0
147777,79137,84081.0
84238,306434,21982.0
59116,437954,14324.0
106563,70479,206188.0
160648,3139756,267852.0
200384,4954660,374856.0
91223,35751,85677.0
153957,1773722,61025.0
200456,2395349,140046.0
108430,404011,89445.0
174159,223755,44449.0
93652,130200,114412.0
170647,67409,3427.0
1131,91288,4480.0
44199,454848,388.0
185021,2554812,187012.0
204714,121515,72773.0
8972,368891,2059.0
160968,2821660,303497.0
141660,1259227,50715.0
101197,56135,159414.0
153040,428443,330430.0
8742,87795,73621.0
167238,71625,190766.0
131000,70244,52874.0
118720,66126,121901.0
115973,3390572,280795.0
156039,166484,67357.0
128880,3590482,299049.0
165153,4189294,300424.0
78413,68286,94225.0
195179,2011163,331477.0
142096,2578608,248561.0
114980,2349460,206284.0
200472,495138,101021.0
129458,65550,75086.0
197719,4328934,280167.0
103819,2234025,198062.0
167022,2511594,249931.0
134689,37737,191487.0
178995,5477402,381649.0
1132,91480,4481.0
165093,87901,78711.0
188441,4691804,382545.0
3635,76752,691.0
188235,132165,50473.0
1214,78748,348.0
157206,4254046,363354.0
68339,1058058,17073.0
139199,171726,260817.0
201540,9056818,570973.0
119200,299215,132936.0
97039,36135,41996.0
8752,41859,17218.0
154721,55232,64869.0
116899,1179773,17234.0
195863,24404,148311.0
171713,3565836,402515.0
59014,426592,11918.0
116335,109518,64160.0
200538,7790894,573858.0
135825,1317478,38594.0
194550,92910,67729.0
106326,2167791,203062.0
174163,222836,195948.0
6809,88272,11707.0
193369,5560734,416104.0
166946,4276820,310307.0
123083,107099,74694.0
6155,251127,9919.0
149906,80870,111868.0
143035,1072755,22371.0
132048,3560546,294083.0
184175,100800,279902.0
4842,80641,20681.0
148853,3212568,256314.0
1372,102975,174.0
179153,4729560,442056.0
181413,7544820,482004.0
3403,81400,24575.0
110265,102319,232862.0
87210,960097,37665.0
205271,8099132,500859.0
125265,50281,43249.0
82765,1319718,35138.0
7775,223384,141003.0
175445,1342408,99229.0
31915,37614,43492.0
2712,120663,345.0
177629,323703,183331.0
116572,21778,154515.0
150252,2381355,159109.0
188249,261450,240200.0
157124,4153324,361841.0
175375,34249,69841.0
138142,2298186,257131.0
200974,44766,84618.0
81989,95012,95043.0
174681,6987652,460822.0
72696,976238,22949.0
124239,110910,181841.0
183879,73948,61703.0
138713,50204,102038.0
184817,93452,85155.0
171213,58659,49160.0
6036,89981,24742.0
127713,61877,4534.0
72212,29347,61647.0
183811,391353,58934.0
189079,1799537,207517.0
166403,5222646,376502.0
187837,140673,66248.0
96710,23986,43599.0
186609,1289375,289630.0
160698,3180652,230722.0
137664,96877,283655.0
195699,109689,500680.0
198517,5640904,412354.0
130988,2639254,283227.0
138058,79492,143328.0
123629,99225,108012.0
188499,42418,100366.0
198079,8116574,511401.0
179101,4877606,422761.0
162028,31464,92420.0
138498,1821597,78854.0
173883,5424972,384160.0
31367,109402,10694.0
172269,822831,55769.0
70924,80103,184781.0
178959,2579836,177838.0
124318,67162,79645.0
26038,52278,43137.0
69140,479760,37924.0
205982,9213932,600335.0
2183,49470,574.0
148206,89104,69152.0
185155,4288542,292623.0
194044,9017614,550248.0
132112,3297330,253626.0
124209,33191,86902.0
141773,468521,61476.0
163426,5571712,410965.0
72267,188160,53263.0
128221,35252,33541.0
201314,8169446,513083.0
132668,1112097,144097.0
4547,96180,25497.0
163232,2292196,180095.0
157785,113236,86791.0
163016,3032780,238204.0
153422,2956666,293313.0
27373,250934,20536.0
86709,1561435,128990.0
166747,89801,80809.0
7912,192023,5521.0
156545,3368222,358893.0
26221,65642,48408.0
125311,97938,2199.0
181855,44699,66874.0
3108,101889,177.0
157687,377008,51106.0
90753,1368491,52799.0
2586,119219,49981.0
108813,68673,90728.0
179391,2004205,171706.0
4012,95927,40820.0
151631,4940780,378350.0
170341,2063618,269572.0
138388,2473532,195544.0
177581,2486904,167519.0
148168,3698408,295748.0
141916,2945796,356216.0
67983,833960,16867.0
146497,4150,199989.0
187203,2271671,174376.0
6517,103747,61225.0
5007,58672,5052.0
91589,49783,46741.0
74135,1404661,62775.0
175205,3332372,458335.0
133071,75852,52810.0
171791,1114757,28467.0
164528,1287875,48508.0
8922,92972,29445.0
192399,128801,76212.0
168502,117180,174000.0
124797,3341832,245589.0
131272,337660,22489.0
116351,38449,38470.0
157561,4987556,280165.0
109179,24514,122435.0
157935,80038,52546.0
194020,2709314,427746.0
145309,44399,38682.0
128762,71449,5602.0
66097,327597,14836.0
194342,6444140,387827.0
177679,829442,86599.0
199289,3201736,507990.0
95949,1630637,56909.0
204568,230098,41877.0
177657,2932530,370381.0
139821,202055,207649.0
103617,138993,404211.0
201032,5579650,381778.0
38384,36891,36498.0
142630,2252388,312963.0
196321,8760550,561546.0
183999,4603210,339586.0
122173,22308,163773.0
32017,395699,10022.0
5617,274812,11013.0
2197,119125,38621.0
162074,66592,86196.0
196747,61699,157037.0
168726,6176078,417321.0
202980,1318995,44359.0
952,48960,2897.0
191729,303357,27639.0
4984,60714,42724.0
142681,21761,136109.0
197287,6479534,544814.0
97533,1899324,122928.0
109837,49016,256383.0
6885,199626,10944.0
81172,365402,64156.0
7770,100813,26612.0
153849,982851,333164.0
199356,3455730,306026.0
6390,50972,43239.0
7255,335559,13476.0
144094,63500,122787.0
133357,4136056,320882.0
150066,228073,218238.0
207620,139102,88697.0
173787,132888,83413.0
104339,2294677,157360.0
89074,1743720,58492.0
178203,2091890,343991.0
186465,905357,38051.0
4704,56059,11385.0
146712,2521188,251584.0
68645,58323,111752.0
172751,477337,63838.0
1558,117775,106129.0
143117,56056,114740.0
144980,67118,4156.0
8335,29192,41059.0
110811,235333,127016.0
50651,822389,13140.0
136090,54442,60046.0
52722,413300,559.0
4857,67093,14811.0
3689,86129,19698.0
4429,49513,10339.0
129417,43412,211561.0
92613,960770,14205.0
139100,1738398,54692.0
83134,1465522,46838.0
206309,123070,184882.0
2361,69089,692.0
85997,372832,56527.0
206276,3313740,227705.0
1203,50083,389.0
158912,4159212,299574.0
173089,50957,43312.0
192401,120495,268716.0
82366,1270835,43919.0
150234,1865368,84105.0
53326,465203,10832.0
2806,133046,10342.0
196479,5668822,523576.0
177863,245500,409725.0
200496,8106596,589023.0
172583,3066856,213321.0
113793,948465,64522.0
6293,245573,42383.0
116933,32467,72638.0
91840,1450330,76785.0
27484,285727,38901.0
5813,287986,27204.0
190473,92128,103393.0
55110,465436,4629.0
121592,21424,287169.0
171065,1337446,258116.0
121326,62741,3483.0
7240,89420,42040.0
118,116606,10324.0
177977,74951,154877.0
200816,11999,23310.0
6240,102593,71142.0
5732,82351,10863.0
201574,281055,357793.0
48997,396171,1427.0
7587,62229,5511.0
7331,76686,47474.0
79191,111002,26682.0
120274,2785390,276918.0
135729,110438,46403.0
77837,1132623,36950.0
159851,4096620,356329.0
109364,79820,22504.0
176297,6946580,461054.0
70961,58382,758.0
177079,130843,211660.0
69714,1144804,10788.0
3393,92834,28370.0
162714,4305154,378195.0
8698,99292,41925.0
205389,939626,18064.0
171923,2290645,114464.0
104374,2194499,122906.0
161594,5595168,390734.0
184947,1508245,145478.0
180683,39483,346985.0
184031,4777250,390381.0
157445,52844,53050.0
205649,390042,18372.0
173325,5059782,412280.0
104636,1698010,79628.0
83562,118201,58777.0
4630,97987,39002.0
144708,2910508,306969.0
123,109424,11104.0
173245,192470,44386.0
7895,71249,11942.0
191367,3829266,346910.0
182673,7427856,421131.0
163508,4468634,340487.0
143478,229965,89774.0
187703,473715,97976.0
34364,105577,41776.0
185149,446574,67084.0
179607,5039242,440034.0
205443,5220602,595108.0
139443,1414352,329807.0
149658,4618398,347201.0
132844,76632,63029.0
130247,4406298,323555.0
133499,209390,284530.0
197945,1517216,64809.0
178137,229211,277309.0
134631,2715446,231562.0
80097,55153,113458.0
359,110091,48992.0
77451,25607,111310.0
26386,76141,12535.0
157979,481603,342850.0
162962,66258,32034.0
116387,82280,125257.0
152091,3381008,267193.0
192319,5208252,493551.0
175167,6333072,433084.0
190147,7527538,517298.0
172889,366178,24959.0
171669,1227538,183339.0
139739,85560,351638.0
2685,156820,91598.0
199217,6597824,466874.0
32090,110400,87169.0
178723,2358937,213224.0
5486,246500,33152.0
177245,1230168,300687.0
5302,72737,31671.0
168664,5517370,381090.0
4029,120202,21991.0
152419,131404,169996.0
160201,4621872,380225.0
203326,85168,127129.0
153746,1718714,130802.0
117674,65570,94201.0
148066,95857,249914.0
135015,62080,58404.0
196759,242601,68632.0
52078,483578,20527.0
162488,5824826,393841.0
3717,187078,9679.0
56313,34182,43308.0
203601,32289,95053.0
202109,67757,74072.0
4511,95304,21362.0
5314,291003,36093.0
167476,5070130,382906.0
174807,3859052,345489.0
188283,218534,91653.0
149386,5182120,363478.0
105355,2278871,152584.0
7115,73582,20126.0
136850,67952,30341.0
113771,1988621,124470.0
46581,432260,16429.0
154335,74352,342416.0
134176,1646979,58859.0
181375,1868092,70453.0
74339,78382,42212.0
174685,314097,36464.0
72913,1421032,46886.0
106336,2765340,191421.0
919,32138,630.0
197105,450519,82306.0
8126,57495,25504.0
192331,262327,207251.0
6902,165832,20312.0
141610,183718,41288.0
130896,1444270,70072.0
207986,6736198,532880.0
26072,55205,750.0
196555,75274,75392.0
140062,64231,171853.0
160768,89122,49237.0
132240,33342,43789.0
179725,1052352,41362.0
205551,6552104,627472.0
177175,4010862,437041.0
143795,105614,197237.0
139008,1714828,138622.0
149384,5156770,363476.0
188345,63333,89226.0
5598,108258,23470.0
6722,105839,10618.0
65126,1024715,13973.0
127234,1846487,103758.0
158898,5313016,374603.0
81198,58745,73348.0
174535,329374,22643.0
136578,2197088,202980.0
189693,7737502,499158.0
119607,34707,51416.0
164604,4254584,385736.0
90245,86907,37239.0
73954,35616,15807.0
175139,28119,67713.0
135260,114188,28601.0
141483,2421498,171885.0
173333,55758,110131.0
1193,73486,510.0
184927,5636222,446039.0
193095,59840,363295.0
172967,41865,96342.0
115975,2298820,123366.0
7458,332452,652.0
185055,1298643,42942.0
183965,4835940,470901.0
162918,160110,124202.0
202017,8201404,542830.0
206505,2198109,140033.0
197601,6514196,556907.0
134467,194876,77330.0
26813,106504,83599.0
249,110116,13701.0
183747,6965446,480705.0
100721,122685,59912.0
73198,129389,54051.0
33861,62861,2994.0
142468,3890278,283711.0
177283,5131960,391581.0
120222,249516,116977.0
193025,8342320,516570.0
33318,263467,21997.0
120422,64357,147357.0
150282,4287610,256959.0
119954,2611626,227359.0
201480,8511854,589770.0
129828,2080337,103672.0
86858,19304,27777.0
185555,63696,2985.0
4648,259442,47574.0
8728,68424,42469.0
157083,104129,168976.0
168490,5359662,383146.0
160960,66095,95322.0
183581,225609,97802.0
196567,5117428,482981.0
138430,3296204,247218.0
91902,1925421,78182.0
121620,34282,218582.0
106983,2752200,184314.0
130618,3848892,314389.0
4958,159273,8007.0
78235,85234,139383.0
183353,6421110,442064.0
153222,1031928,33297.0
92894,86935,31400.0
100385,1714866,121598.0
181891,41884,67170.0
7561,98061,41965.0
101585,1792643,119634.0
199576,252389,190459.0
118426,491811,96011.0
126717,80872,299559.0
2508,181322,15031.0
162734,1733729,410524.0
32277,35942,40916.0
3463,110629,49338.0
101383,99151,109425.0
190995,2643394,199926.0
199628,110530,92706.0
27831,375912,4836.0
120747,31565,197737.0
139590,3076106,258305.0
190291,50182,68594.0
142618,4195368,349498.0
78490,59555,44006.0
53741,463486,12713.0
44856,54777,28752.0
198791,6563576,509730.0
188645,7420408,486659.0
96473,114180,216035.0
181795,49100,53768.0
162088,2238660,138118.0
164115,2172095,329802.0
131530,2186883,129115.0
78090,1235072,44878.0
131654,1583265,151123.0
162442,84658,69870.0
116329,109514,169339.0
107846,110420,13632.0
185653,2885748,221914.0
132374,55336,75066.0
123627,99842,129251.0
826,112865,282919.0
152019,4616014,378385.0
133720,1726889,78478.0
3561,84723,310431.0
117738,23973,81110.0
7416,73766,16561.0
185897,100093,173957.0
185535,4584718,417807.0
171613,326450,54474.0
2630,149723,44297.0
174809,77614,80638.0
193157,382019,30767.0
2885,160338,60994.0
191965,8301054,536056.0
113317,64075,204092.0
422,109297,26203.0
122799,68997,37608.0
168108,3550748,267466.0
4993,120737,120.0
155739,120538,161382.0
55740,108593,18731.0
117740,3091272,211247.0
163214,82616,288503.0
3063,105156,9264.0
188579,53232,38946.0
462,109920,41006.0
167052,2884286,248946.0
188309,5758778,447200.0
135809,77262,64257.0
125039,33221,200862.0
138732,64343,77641.0
131540,95812,67183.0
6355,50631,43232.0
104843,2094762,180810.0
2776,119614,126996.0
97936,1781769,96724.0
3445,77530,29143.0
68201,814131,13119.0
167248,4420704,392011.0
48177,38260,34127.0
81080,1400526,46812.0
196239,8106160,520370.0
162352,63581,225534.0
160798,77868,83876.0
208233,8796204,581511.0
89819,79763,173341.0
129030,2123170,326536.0
4323,52902,17664.0
130476,158560,59414.0
137439,111539,345617.0
63828,1016164,16509.0
90066,1504319,42707.0
157555,4258292,300983.0
169162,1144811,40854.0
164921,986272,53216.0
164624,49533,266351.0
172183,924134,4644.0
192859,51428,112805.0
158298,376076,69638.0
204560,77192,212776.0
144278,214728,32249.0
140204,1945044,226458.0
135488,250593,92208.0
140443,91846,151937.0
141795,2907640,297755.0
125303,68173,24084.0
199051,306909,33171.0
43567,63661,97936.0
78366,32846,132928.0
4650,98184,87462.0
101827,61590,3052.0
147043,6895,134155.0
60223,19563,27506.0
155627,4309356,312849.0
1675,119365,45928.0
46970,415306,9718.0
86316,27686,57698.0
629,114305,166901.0
2642,86393,9531.0
83222,90209,31694.0
313,111333,22586.0
115957,80947,79365.0
182819,1966359,354861.0
133643,2126403,193524.0
201166,8178958,561417.0
188509,8282042,519187.0
122191,52877,48409.0
165677,2989350,348896.0
170044,4280822,385383.0
131558,1714014,54424.0
198871,7264116,483787.0
175283,5058340,382272.0
78717,1134665,120529.0
82840,452631,25434.0
159069,106591,83501.0
3538,166175,10557.0
158056,1346965,305815.0
155733,2302601,224951.0
206799,1441869,569865.0
176199,74124,323132.0
2879,99558,10975.0
2731,53198,147.0
3666,189047,26960.0
183997,5896862,477491.0
167178,1579235,100272.0
178663,5119264,423710.0
94663,2317337,103243.0
178451,425558,26751.0
191601,94105,56520.0
55,113158,97406.0
605,117247,7300.0
