,Field_ID,Elevation,Latitude,Longitude,Location,Slope
0,40734,786.0558,-7.389911080195735,-7.556202472076428,Rural_Akatsi,14.795113
1,30629,674.3341,-7.736849459237079,-1.051539153607483,Rural_Sokoto,11.374611
2,39924,826.5339,-9.926616371108418,0.1151559983893706,Rural_Sokoto,11.339692
3,5754,574.94617,-2.4201314427593417,-6.592214971970919,Rural_Kilimani,7.109855
4,14146,886.353,-3.055434188796088,-7.952608546886169,Rural_Kilimani,55.007656
5,5304,850.56647,-2.050664597546483,-7.132768710347839,Rural_Kilimani,50.45125
6,429,331.35538,-13.409517241224766,-6.722848792078675,Rural_Hawassa,5.907423
7,672,790.73846,-3.785356492753202,-1.4704683008495965,Rural_Kilimani,15.380596
8,26124,742.7218,-10.237509204275336,-0.7362161395542792,Rural_Sokoto,3.4318435
9,44050,747.3803,-3.767333719815989,-3.1056433594397808,Rural_Kilimani,8.239554
10,22734,756.9202,-7.538598956927739,-0.5785546325276771,Rural_Sokoto,9.371509
11,16655,393.8345,-12.855316973405476,-8.159820813263988,Rural_Akatsi,36.34067
12,32297,660.6827,-2.6409104112401973,-3.839895520735098,Rural_Kilimani,8.705346
13,24164,790.90894,-8.822721528704143,-7.421064037482197,Rural_Akatsi,17.159893
14,26011,618.16815,-8.813710142235536,-0.9389237914456244,Rural_Sokoto,23.239878
15,42538,639.52563,-5.916549392578599,-2.1146281724154266,Rural_Hawassa,0.8549503
16,4813,808.43085,-8.56139132111456,-1.974985123334722,Rural_Sokoto,16.707561
17,37912,454.19534,-10.377185694538737,-7.353494820185081,Rural_Akatsi,9.985941
18,36614,768.06274,-8.074776451809816,0.480029771793792,Rural_Sokoto,10.411442
19,34153,610.994,-6.948353143234025,-2.9660003103590764,Rural_Hawassa,16.369598
20,15118,195.87325,-12.711134789907774,-6.380498091106625,Rural_Hawassa,10.056667
21,41199,654.80963,-6.637460310067107,-2.339858896739144,Rural_Hawassa,13.94029
22,43441,504.42505,-2.379580203650613,-7.601248616941171,Rural_Kilimani,3.906222
23,19788,775.58325,-4.920791187797599,-5.245335240515091,Rural_Kilimani,21.290752
24,18871,843.27203,-7.164626418480577,-7.794947039859568,Rural_Akatsi,11.813544
25,41012,690.64,-8.40819775114825,-4.195760065166571,Rural_Hawassa,4.2353106
26,1603,525.38104,-2.465188375102373,-5.186775252190925,Rural_Kilimani,6.8092437
27,33183,792.5747,-3.276213157276944,-7.335476362239185,Rural_Kilimani,27.644611
28,314,751.3648,-2.9563089376414187,-0.9434284059320988,Rural_Kilimani,3.2867026
29,32300,445.4456,-9.30483070477458,-6.930061058456494,Rural_Akatsi,5.848148
30,11444,741.3757,-4.65044959373941,-6.168781210242331,Rural_Kilimani,7.026868
31,43912,521.39185,-9.277796545368762,-5.407501362028168,Rural_Hawassa,5.194681
32,40248,680.9076,-6.164362520465273,-7.511156327211684,Rural_Amanzi,8.412227
33,35014,717.9738,-4.416153545555645,-2.303821980847349,Rural_Kilimani,4.5158725
34,2593,713.8158,-2.3390289645418854,-7.421064037482197,Rural_Kilimani,17.381775
35,26750,891.7427,-1.338765066526582,-1.7857913149027995,Rural_Kilimani,4.546448
36,21090,700.91864,-3.316764396385672,-4.646221513814004,Rural_Kilimani,11.447326
37,18533,572.3282,-9.435495808569373,-2.560585006576386,Rural_Hawassa,4.282469
38,17418,550.40393,-7.024949928217179,-1.2182098896070337,Rural_Sokoto,21.226728
39,19062,659.6165,-8.471277456428496,-4.686763044192274,Rural_Hawassa,0.80738175
40,22460,386.93896,-12.057809270933816,-8.997679107748214,Rural_Akatsi,4.1579146
41,37828,751.4212,-7.615195741910893,-7.763414738454247,Rural_Akatsi,8.986146
42,15949,638.4356,-8.15137323679297,-5.988596630783357,Rural_Hawassa,2.4603343
43,9036,255.68433,-11.701859505423863,-6.164276595755856,Rural_Hawassa,22.052572
44,23951,562.1472,-7.953122734483631,-2.2227389200908103,Rural_Sokoto,24.619905
45,25239,779.9252,-10.22849781780673,0.3764236386048822,Rural_Sokoto,3.3992305
46,43917,805.97516,-4.335051067338188,-0.8848684176079324,Rural_Kilimani,4.799029
47,9806,673.3514,-9.81847973348514,-1.5425421326331856,Rural_Sokoto,8.904864
48,44636,493.53882,-0.3159727023397636,-3.1056433594397808,Rural_Kilimani,8.672898
49,19341,538.19745,-7.326831374915491,-1.254246805498828,Rural_Sokoto,12.456426
50,41964,544.6548,-1.1990885762631844,-3.925483195978111,Rural_Kilimani,9.845885
51,45022,965.42365,-4.434176318492858,-3.6326832543572793,Rural_Kilimani,7.6869597
52,18614,809.51984,-4.064709473279997,-1.0335206956615857,Rural_Kilimani,14.039279
53,24239,379.92014,-9.994201769622965,-3.934492424951059,Rural_Hawassa,5.2726903
54,35122,603.43915,-5.866986767001265,-1.303797564850046,Rural_Sokoto,45.649673
55,5186,813.8458,-4.898262721626084,-5.5561536400818206,Rural_Kilimani,29.738115
56,23796,723.12756,-9.660780470284532,-0.5560315600953059,Rural_Sokoto,4.783915
57,6935,410.50626,-10.94039734882663,-8.934614504937574,Rural_Akatsi,4.675606
58,4,792.6537,-3.163570826419365,-2.835366490251321,Rural_Kilimani,28.081358
59,29767,396.00775,-0.4781776587746762,-4.425495403976762,Rural_Kilimani,6.379792
